dt,cos,sin,angle,angular_velocity
0.011,-0.955586,0.294714,2.842437,11.228066
0.011,-0.985009,0.172503,2.968223,11.817527
0.010,-0.998021,0.062882,3.078669,11.022206
0.010,-0.998797,-0.049038,-3.092535,11.172451
0.010,-0.985283,-0.170932,-2.969817,11.803180
0.011,-0.957835,-0.287319,-2.850166,11.234362
0.011,-0.917303,-0.398190,-2.732050,11.087894
0.011,-0.864759,-0.502186,-2.615467,10.945564
0.010,-0.814054,-0.580790,-2.521894,9.343635
0.011,-0.749156,-0.662393,-2.417584,9.805227
0.010,-0.683987,-0.729494,-2.324011,9.336163
0.011,-0.615255,-0.788328,-2.233506,8.512093
0.011,-0.554319,-0.832304,-2.158341,7.065699
0.010,-0.491589,-0.870827,-2.084710,7.178431
0.011,-0.437264,-0.899333,-2.023351,5.773530
0.010,-0.381293,-0.924454,-1.961991,6.132091
0.011,-0.336918,-0.941534,-1.914438,4.474339
0.010,-0.300572,-0.953759,-1.876088,3.832874
0.010,-0.272650,-0.962113,-1.846943,2.913567
0.011,-0.245984,-0.969274,-1.819331,2.599387
0.011,-0.225113,-0.974333,-1.797855,2.021475
0.011,-0.225113,-0.974333,-1.797855,0.000000
0.010,-0.223618,-0.974677,-1.796321,0.153353
0.010,-0.231087,-0.972933,-1.803991,-0.739405
0.011,-0.247471,-0.968895,-1.820865,-1.588201
0.010,-0.271174,-0.962530,-1.845409,-2.453627
0.011,-0.304958,-0.952366,-1.880690,-3.320864
0.010,-0.345569,-0.938393,-1.923642,-4.293396
0.011,-0.392609,-0.919705,-1.974263,-4.762781
0.010,-0.441398,-0.897311,-2.027953,-5.364226
0.011,-0.499583,-0.866266,-2.093914,-6.207108
0.011,-0.565757,-0.824572,-2.172147,-7.354905
0.011,-0.628469,-0.777835,-2.250380,-7.359756
0.010,-0.693993,-0.719982,-2.337817,-8.624742
0.010,-0.756226,-0.654311,-2.428322,-9.032717
0.010,-0.815832,-0.578289,-2.524962,-9.649048
0.010,-0.868585,-0.495539,-2.623137,-9.801691
0.011,-0.919729,-0.392554,-2.738186,-10.808307
0.010,-0.956503,-0.291724,-2.845564,-10.716180
0.010,-0.983391,-0.181502,-2.959079,-11.327079
0.011,-0.998303,-0.058228,-3.083331,-11.670882
0.010,-0.998639,0.052162,3.089407,-11.007923
0.010,-0.986303,0.164943,2.975893,-11.099539
0.010,-0.959563,0.281494,2.856242,-11.887814
0.011,-0.919705,0.392609,2.738126,-11.095182
0.010,-0.873827,0.486236,2.633815,-10.412144
0.010,-0.820209,0.572064,2.532572,-10.104997
0.011,-0.755182,0.655516,2.426728,-9.952609
0.010,-0.690629,0.723209,2.333155,-9.337075
0.011,-0.622438,0.782669,2.242650,-8.510509
0.010,-0.559366,0.828921,2.164417,-7.811391
0.011,-0.495539,0.868586,2.089252,-7.071050
0.010,-0.435830,0.900029,2.021756,-6.577986
0.011,-0.378400,0.925642,1.958864,-5.916537
0.010,-0.335417,0.942070,1.912844,-4.597113
0.011,-0.291723,0.956503,1.866825,-4.330131
0.010,-0.260765,0.965402,1.834611,-3.220763
0.011,-0.236995,0.971511,1.810068,-2.312383
0.010,-0.219072,0.975709,1.791660,-1.840310
0.010,-0.214580,0.976707,1.787058,-0.459919
0.011,-0.213081,0.977035,1.785524,-0.144443
0.010,-0.220569,0.975371,1.793194,0.766985
0.010,-0.236995,0.971511,1.810068,1.645989
0.011,-0.263726,0.964598,1.837679,2.598912
0.010,-0.291723,0.956503,1.866825,2.914111
0.010,-0.329630,0.944110,1.906708,3.987303
0.011,-0.379820,0.925061,1.960398,5.053079
0.010,-0.428914,0.903345,2.014087,5.365823
0.010,-0.484843,0.874601,2.076980,6.283885
0.011,-0.550433,0.834879,2.153679,7.213717
0.010,-0.613998,0.789308,2.231912,7.809830
0.011,-0.685062,0.728485,2.325485,8.794865
0.010,-0.747081,0.664733,2.414456,8.572435
0.010,-0.809540,0.587065,2.514165,9.954391
0.010,-0.864729,0.502238,2.615407,10.102925
0.010,-0.914198,0.405269,2.724320,10.863212
0.011,-0.955586,0.294714,2.842437,11.091050
0.011,-0.983100,0.183069,2.957485,10.810319
0.011,-0.998021,0.062882,3.078669,11.376619
0.011,-0.998561,-0.053634,-3.087933,10.952804
0.010,-0.985544,-0.169421,-2.971351,11.631872
0.010,-0.960865,-0.277017,-2.860904,10.741842
0.011,-0.920929,-0.389731,-2.741254,11.247087
0.010,-0.875344,-0.483501,-2.636943,10.408006
0.010,-0.823737,-0.566971,-2.538768,9.799758
0.011,-0.764198,-0.644982,-2.440593,9.227727
0.011,-0.696199,-0.717849,-2.340885,9.363529
0.011,-0.634416,-0.772991,-2.258050,7.793187
0.011,-0.568284,-0.822833,-2.175215,7.789517
0.010,-0.508856,-0.860852,-2.104652,7.050453
0.010,-0.457840,-0.889035,-2.046360,5.824674
0.010,-0.405269,-0.914198,-1.988069,5.616872
0.010,-0.361354,-0.932429,-1.940516,4.751177
0.010,-0.325339,-0.945598,-1.902166,3.834010
0.011,-0.294714,-0.955585,-1.869953,3.028774
0.011,-0.271174,-0.962530,-1.845409,2.313254
0.010,-0.251927,-0.967746,-1.825467,1.994037
0.010,-0.244497,-0.969650,-1.817797,0.766985
0.010,-0.247471,-0.968895,-1.820865,-0.306798
0.011,-0.254895,-0.966969,-1.828535,-0.721799
0.011,-0.271174,-0.962530,-1.845409,-1.588489
0.010,-0.294714,-0.955585,-1.869953,-2.393341
0.010,-0.322436,-0.946591,-1.899098,-2.913564
0.011,-0.367068,-0.930194,-1.946652,-4.475612
0.010,-0.406671,-0.913575,-1.989603,-4.292113
0.010,-0.456476,-0.889736,-2.044826,-5.517857
0.011,-0.514129,-0.857713,-2.110788,-6.208884
0.010,-0.569545,-0.821960,-2.176749,-6.590675
0.010,-0.630853,-0.775903,-2.253448,-7.660854
0.011,-0.696199,-0.717849,-2.340885,-8.219645
0.011,-0.762216,-0.647323,-2.437526,-8.738496
0.011,-0.824606,-0.565707,-2.540302,-9.696218
0.011,-0.879026,-0.476773,-2.644613,-9.795080
0.011,-0.926222,-0.376980,-2.755059,-10.376791
0.011,-0.962961,-0.269639,-2.868574,-10.667832
0.010,-0.987306,-0.158829,-2.982089,-11.327080
0.011,-0.999079,-0.042908,-3.098671,-10.947644
0.010,-0.997400,0.072065,3.069465,-11.474917
0.011,-0.982534,0.186085,2.954417,-10.796085
0.011,-0.954219,0.299108,2.837835,-10.964133
0.010,-0.912950,0.408072,2.721252,-11.343763
0.011,-0.863184,0.504889,2.612339,-10.233219
0.010,-0.807735,0.589545,2.511097,-10.102930
0.011,-0.744014,0.668164,2.409854,-9.515167
0.010,-0.680579,0.732675,2.319349,-9.038115
0.010,-0.620034,0.784575,2.239582,-7.968267
0.010,-0.558094,0.829778,2.162883,-7.660828
0.010,-0.496871,0.867824,2.090786,-7.202763
0.011,-0.439967,0.898014,2.026358,-6.064126
0.010,-0.393965,0.919126,1.975737,-5.058413
0.010,-0.346952,0.937883,1.925116,-4.878039
0.010,-0.309280,0.950971,1.885232,-3.982522
0.011,-0.275543,0.961289,1.849951,-3.323694
0.010,-0.254837,0.966984,1.828475,-2.146937
0.010,-0.241463,0.970410,1.814669,-1.380542
0.011,-0.235504,0.971873,1.808534,-0.577878
0.010,-0.234013,0.972233,1.807000,-0.153368
0.010,-0.245926,0.969289,1.819271,1.226912
0.011,-0.263726,0.964598,1.837679,1.731101
0.011,-0.290256,0.956949,1.865291,2.599353
0.010,-0.320927,0.947104,1.897504,3.219845
0.011,-0.365585,0.930778,1.945058,4.476470
0.010,-0.410816,0.911718,1.994145,4.905800
0.011,-0.465950,0.884811,2.055504,5.774588
0.010,-0.524564,0.851371,2.122999,6.738342
0.011,-0.587016,0.809575,2.198164,7.076336
0.010,-0.648492,0.761222,2.276397,7.813784
0.011,-0.715710,0.698398,2.368436,8.652675
0.010,-0.773964,0.633230,2.455873,8.730831
0.010,-0.833153,0.553042,2.555582,9.706820
0.011,-0.889736,0.456476,2.667563,10.516377
0.011,-0.934628,0.355626,2.778009,10.373839
0.011,-0.969650,0.244497,2.894592,10.955872
0.010,-0.990899,0.134610,3.006572,11.169118
0.011,-0.999830,0.018437,3.123155,10.947621
0.011,-0.994726,-0.102566,-3.038846,11.385196
0.010,-0.977684,-0.210083,-2.929933,10.866491
0.010,-0.949055,-0.315110,-2.821021,10.865406
0.011,-0.905960,-0.423363,-2.704438,10.951744
0.010,-0.858532,-0.512761,-2.603195,9.734177
0.011,-0.803225,-0.595675,-2.503487,9.380290
0.010,-0.746100,-0.665834,-2.412982,9.031818
0.011,-0.685106,-0.728444,-2.325545,8.220419
0.011,-0.616464,-0.787383,-2.235040,8.508882
0.011,-0.556870,-0.830600,-2.161409,6.921772
0.010,-0.502238,-0.864729,-2.096982,6.438255
0.011,-0.446896,-0.894586,-2.034089,5.919912
0.010,-0.402462,-0.915437,-1.985001,4.904818
0.011,-0.359923,-0.932982,-1.938982,4.246972
0.010,-0.325339,-0.945598,-1.902166,3.666422
0.010,-0.303496,-0.952833,-1.879156,2.300545
0.010,-0.282965,-0.959130,-1.857681,2.146543
0.010,-0.271174,-0.962530,-1.845409,1.227158
0.011,-0.268220,-0.963358,-1.842341,0.288915
0.010,-0.271174,-0.962530,-1.845409,-0.306799
0.011,-0.282965,-0.959130,-1.857681,-1.154972
0.010,-0.306418,-0.951897,-1.882224,-2.454117
0.010,-0.326789,-0.945097,-1.903700,-2.147415
0.010,-0.364213,-0.931316,-1.943584,-3.842434
0.011,-0.403866,-0.914818,-1.986535,-4.042008
0.011,-0.455110,-0.890435,-2.043292,-5.339491
0.010,-0.506213,-0.862409,-2.101584,-5.825840
0.011,-0.565757,-0.824572,-2.172147,-6.638848
0.010,-0.620081,-0.784538,-2.239642,-6.742363
0.010,-0.681746,-0.731589,-2.320943,-8.121147
0.010,-0.739940,-0.672673,-2.403778,-8.274022
0.010,-0.798633,-0.601818,-2.495817,-9.189062
0.011,-0.855369,-0.518019,-2.597059,-9.516044
0.010,-0.903345,-0.428914,-2.698302,-9.858556
0.010,-0.944110,-0.329630,-2.805681,-10.714010
0.010,-0.973651,-0.228043,-2.911525,-10.557333
0.011,-0.993910,-0.110192,-3.031176,-11.249206
0.010,-0.999990,-0.004572,-3.137021,-10.564698
0.010,-0.994237,0.107203,3.034184,-11.165777
0.011,-0.973986,0.226608,2.912999,-11.387336
0.010,-0.945598,0.325339,2.810223,-10.259569
0.011,-0.901999,0.431738,2.695174,-10.806294
0.010,-0.854542,0.519382,2.595465,-9.952352
0.010,-0.797673,0.603090,2.494223,-9.739775
0.011,-0.735758,0.677244,2.397582,-9.084899
0.010,-0.673807,0.738907,2.310145,-8.726419
0.011,-0.610359,0.792125,2.227310,-7.789545
0.011,-0.546585,0.837404,2.149077,-7.361114
0.010,-0.488863,0.872361,2.081582,-6.742392
0.011,-0.437210,0.899359,2.023290,-5.484178
0.010,-0.386903,0.922120,1.968068,-5.518930
0.010,-0.348391,0.937349,1.926650,-4.140575
0.010,-0.318020,0.948084,1.894436,-3.219845
0.010,-0.287319,0.957835,1.862223,-3.219523
0.011,-0.271117,0.962547,1.845349,-1.589652
0.010,-0.263726,0.964598,1.837679,-0.766525
0.011,-0.262246,0.965001,1.836145,-0.144350
0.011,-0.260765,0.965402,1.834611,-0.144522
0.010,-0.275543,0.961289,1.849951,1.532037
0.011,-0.297587,0.954695,1.872960,2.167679
0.010,-0.326732,0.945117,1.903640,3.065651
0.011,-0.365585,0.930778,1.945058,3.898846
0.010,-0.408017,0.912974,1.991077,4.487689
0.010,-0.457786,0.889062,2.046300,5.519482
0.010,-0.506161,0.862439,2.101524,5.519541
0.010,-0.565707,0.824606,2.172087,7.047659
0.011,-0.628422,0.777872,2.250320,7.352808
0.011,-0.691738,0.722149,2.334689,7.935694
0.011,-0.755182,0.655516,2.426728,8.650234
0.010,-0.815797,0.578339,2.524902,9.793858
0.011,-0.871580,0.490253,2.629213,9.811715
0.010,-0.917279,0.398245,2.731990,10.257518
0.010,-0.955132,0.296179,2.840903,10.474871
0.011,-0.982818,0.184577,2.955951,10.810321
0.010,-0.997058,0.076654,3.064863,10.867555
0.010,-0.999379,-0.035244,-3.106341,11.170217
0.011,-0.989181,-0.146701,-2.994360,10.524279
0.010,-0.966984,-0.254837,-2.883914,11.022229
0.010,-0.934103,-0.357003,-2.776535,10.715082
0.010,-0.892547,-0.450954,-2.673759,10.259593
0.010,-0.846507,-0.532378,-2.580186,9.340835
0.010,-0.792125,-0.610359,-2.485079,9.495399
0.010,-0.733718,-0.679454,-2.394574,8.828036
0.010,-0.678372,-0.734719,-2.316341,7.811414
0.011,-0.614045,-0.789271,-2.231972,7.933428
0.010,-0.556870,-0.830600,-2.161409,7.046228
0.011,-0.503564,-0.863958,-2.098516,5.917120
0.011,-0.452376,-0.891827,-2.040225,5.477971
0.011,-0.405269,-0.914198,-1.988069,4.907912
0.011,-0.371345,-0.928495,-1.951254,3.467146
0.011,-0.334028,-0.942563,-1.911370,3.752744
0.010,-0.313710,-0.949519,-1.889894,2.070396
0.010,-0.300572,-0.953759,-1.876088,1.380543
0.011,-0.293248,-0.956036,-1.868419,0.721722
0.010,-0.288845,-0.957376,-1.863817,0.460148
0.010,-0.302034,-0.953297,-1.877622,-1.380392
0.011,-0.315166,-0.949036,-1.891428,-1.299580
0.010,-0.336918,-0.941534,-1.914438,-2.299855
0.011,-0.368495,-0.929630,-1.948186,-3.178928
0.010,-0.402462,-0.915437,-1.985001,-3.679250
0.011,-0.449638,-0.893211,-2.037157,-4.906988
0.010,-0.498254,-0.867031,-2.092380,-5.385946
0.011,-0.554319,-0.832304,-2.158341,-6.203606
0.010,-0.607974,-0.793957,-2.224302,-6.589349
0.011,-0.670444,-0.741960,-2.305603,-7.645592
0.010,-0.726380,-0.687294,-2.383836,-7.815318
0.011,-0.786474,-0.617624,-2.475875,-8.652700
0.010,-0.841571,-0.540146,-2.570982,-9.488762
0.011,-0.892547,-0.450954,-2.673759,-9.654269
0.011,-0.935194,-0.354135,-2.779603,-9.953572
0.010,-0.966984,-0.254837,-2.883914,-10.406943
0.010,-0.989846,-0.142147,-2.998962,-11.069914
0.011,-0.999482,-0.032178,-3.109409,-10.371910
0.011,-0.996694,0.081242,3.060261,-10.660809
0.010,-0.980779,0.195120,2.945213,-11.477181
0.011,-0.952833,0.303496,2.833233,-10.525248
0.010,-0.915437,0.402462,2.727388,-10.561577
0.010,-0.870072,0.492924,2.626145,-10.105957
0.010,-0.816683,0.577086,2.526436,-9.949414
0.011,-0.759190,0.650869,2.432863,-8.799786
0.010,-0.698355,0.715752,2.343893,-8.698318
0.010,-0.639101,0.769123,2.264126,-7.932570
0.011,-0.574529,0.818484,2.182825,-7.653493
0.010,-0.518019,0.855369,2.115330,-6.741039
0.010,-0.471370,0.881935,2.061640,-5.364224
0.011,-0.419190,0.907899,2.003349,-5.486715
0.011,-0.378400,0.925642,1.958864,-4.185880
0.010,-0.345513,0.938414,1.923582,-3.526374
0.011,-0.313653,0.949538,1.889834,-3.176548
0.011,-0.293190,0.956054,1.868358,-2.021855
0.010,-0.279964,0.960011,1.854553,-1.330773
0.010,-0.281436,0.959580,1.856087,0.153384
0.010,-0.287319,0.957835,1.862223,0.613406
0.010,-0.296122,0.955150,1.871426,0.920377
0.011,-0.316565,0.948571,1.892902,2.022048
0.010,-0.342633,0.939470,1.920514,2.760267
0.010,-0.371289,0.928517,1.951194,3.065040
0.011,-0.419190,0.907899,2.003349,4.911137
0.010,-0.461873,0.886946,2.050902,4.752091
0.010,-0.512761,0.858532,2.109194,5.824677
0.010,-0.572015,0.820243,2.179757,6.881199
0.011,-0.631995,0.774972,2.254922,7.069006
0.010,-0.692845,0.721087,2.336223,8.120352
0.010,-0.754175,0.656673,2.425194,8.885328
0.010,-0.806830,0.590784,2.509563,8.423548
0.011,-0.862409,0.506213,2.610805,9.515126
0.011,-0.912323,0.409472,2.719718,10.229368
0.011,-0.951426,0.307878,2.828631,10.235191
0.011,-0.980779,0.195120,2.945213,10.946591
0.011,-0.996177,0.087356,3.054126,10.234186
0.010,-0.999661,-0.026045,-3.115545,11.324845
0.010,-0.991515,-0.129989,-3.011234,10.401767
0.011,-0.970410,-0.241463,-2.897720,10.665824
0.011,-0.938943,-0.344073,-2.790341,10.090600
0.010,-0.897338,-0.441344,-2.684496,10.561552
0.011,-0.849758,-0.527174,-2.586322,9.227750
0.011,-0.792125,-0.610359,-2.485079,9.517835
0.010,-0.736837,-0.676071,-2.399176,8.572876
0.011,-0.678372,-0.734719,-2.316341,7.791719
0.010,-0.620081,-0.784538,-2.239642,7.384008
0.011,-0.563224,-0.826304,-2.169079,6.636343
0.011,-0.507535,-0.861631,-2.103118,6.206530
0.010,-0.464645,-0.885497,-2.054030,4.903345
0.011,-0.417851,-0.908516,-2.001875,4.907892
0.010,-0.384128,-0.923280,-1.965059,3.680366
0.010,-0.355626,-0.934628,-1.934380,3.066864
0.011,-0.332582,-0.943074,-1.909836,2.310627
0.010,-0.322436,-0.946591,-1.899098,1.073768
0.011,-0.312253,-0.949999,-1.888360,1.011081
0.010,-0.315166,-0.949036,-1.891428,-0.299108
0.011,-0.322436,-0.946591,-1.899098,-0.722480
0.010,-0.339805,-0.940496,-1.917506,-1.838459
0.011,-0.364213,-0.931316,-1.943584,-2.453638
0.011,-0.391198,-0.920307,-1.972729,-2.744793
0.011,-0.430354,-0.902660,-2.015681,-4.042019
0.011,-0.472775,-0.881183,-2.063234,-4.474339
0.010,-0.527225,-0.849726,-2.126127,-6.281404
0.011,-0.579589,-0.814909,-2.189021,-5.920491
0.010,-0.637967,-0.770064,-2.262652,-7.057226
0.011,-0.693993,-0.719982,-2.337817,-7.102456
0.010,-0.748139,-0.663542,-2.416050,-7.814540
0.010,-0.806865,-0.590735,-2.509623,-9.341768
0.010,-0.856954,-0.515392,-2.600127,-9.037237
0.011,-0.905309,-0.424752,-2.702904,-9.654266
0.010,-0.943603,-0.331078,-2.804147,-10.102925
0.011,-0.974346,-0.225055,-2.914593,-10.381678
0.010,-0.992854,-0.119335,-3.021972,-10.704405
0.011,-0.999981,-0.006106,-3.135487,-10.676859
0.010,-0.994720,0.102626,3.038786,-10.598460
0.010,-0.977348,0.211641,2.928339,-11.020001
0.011,-0.947576,0.319530,2.816359,-10.520295
0.011,-0.906583,0.422028,2.705912,-10.375834
0.010,-0.862409,0.506213,2.610805,-9.496329
0.011,-0.807735,0.589545,2.511097,-9.374972
0.010,-0.750132,0.661288,2.419058,-9.185407
0.011,-0.689519,0.724268,2.331621,-8.218851
0.011,-0.628422,0.777872,2.250320,-7.644172
0.010,-0.574529,0.818484,2.182825,-6.743017
0.010,-0.519330,0.854574,2.116863,-6.359237
0.010,-0.465950,0.884811,2.055504,-6.129640
0.010,-0.424753,0.905309,2.009485,-4.599364
0.011,-0.384073,0.923303,1.965000,-4.184305
0.011,-0.352701,0.935736,1.931252,-3.177143
0.011,-0.328182,0.944615,1.905174,-2.454331
0.011,-0.309280,0.950971,1.885232,-1.876926
0.010,-0.303439,0.952851,1.879096,-0.613469
0.011,-0.300515,0.953777,1.876028,-0.288832
0.010,-0.307821,0.951444,1.883698,0.766986
0.010,-0.320927,0.947104,1.897504,1.380541
0.010,-0.339749,0.940516,1.917446,1.994052
0.011,-0.375558,0.926799,1.955796,3.608829
0.011,-0.413611,0.910454,1.997213,3.898113
0.010,-0.452323,0.891854,2.040164,4.291205
0.011,-0.504837,0.863215,2.099990,5.630979
0.010,-0.554269,0.832337,2.158281,5.823513
0.011,-0.617624,0.786474,2.236514,7.352809
0.010,-0.673807,0.738907,2.310145,7.355007
0.010,-0.728444,0.685106,2.386844,7.482036
0.010,-0.788328,0.615255,2.478883,9.190924
0.011,-0.845657,0.533726,2.578592,9.373206
0.010,-0.892520,0.451008,2.673699,9.494473
0.010,-0.931873,0.362784,2.770339,9.649023
0.010,-0.965387,0.260823,2.877718,10.714012
0.011,-0.988017,0.154343,2.986631,10.235194
0.010,-0.999009,0.044501,3.097077,11.015595
0.011,-0.997725,-0.067414,-3.074127,10.524284
0.010,-0.984754,-0.173954,-2.966749,10.717248
0.010,-0.960439,-0.278491,-2.859370,10.331848
0.010,-0.926799,-0.375558,-2.756593,10.255490
0.010,-0.886946,-0.461873,-2.661487,9.489713
0.011,-0.837404,-0.546585,-2.563312,9.227747
0.011,-0.782669,-0.622438,-2.469739,8.800639
0.011,-0.723209,-0.690629,-2.379234,8.503280
0.011,-0.664733,-0.747081,-2.297933,7.644151
0.010,-0.611621,-0.791151,-2.228904,6.896739
0.011,-0.556870,-0.830600,-2.161409,6.345867
0.011,-0.506213,-0.862409,-2.101584,5.633080
0.010,-0.463286,-0.886209,-2.052496,4.844765
0.010,-0.422027,-0.906583,-2.006477,4.599848
0.010,-0.392609,-0.919705,-1.974263,3.220490
0.011,-0.361354,-0.932429,-1.940516,3.175040
0.010,-0.348447,-0.937329,-1.926710,1.380543
0.010,-0.336918,-0.941534,-1.914438,1.226653
0.011,-0.334028,-0.942563,-1.911370,0.288831
0.011,-0.336918,-0.941534,-1.914438,-0.288913
0.010,-0.347008,-0.937862,-1.925176,-1.073755
0.010,-0.362784,-0.931873,-1.942050,-1.645991
0.011,-0.391198,-0.920307,-1.972729,-2.888668
0.010,-0.420636,-0.907229,-2.004943,-3.218879
0.010,-0.456476,-0.889736,-2.044826,-3.987280
0.011,-0.507535,-0.861631,-2.103118,-5.485727
0.010,-0.553042,-0.833154,-2.156807,-5.366344
0.011,-0.607974,-0.793957,-2.224302,-6.344674
0.011,-0.663586,-0.748100,-2.296399,-6.780366
0.011,-0.725325,-0.688407,-2.382302,-8.078843
0.010,-0.776907,-0.629615,-2.460535,-7.815325
0.010,-0.830633,-0.556820,-2.551040,-8.823719
0.010,-0.877560,-0.479468,-2.641545,-9.030010
0.011,-0.924477,-0.381238,-2.750458,-10.233241
0.010,-0.957393,-0.288788,-2.848632,-9.801722
0.010,-0.981385,-0.192051,-2.948341,-9.953370
0.011,-0.996823,-0.079653,-3.061856,-10.660781
0.010,-0.999659,0.026105,3.115485,-10.563671
0.011,-0.990054,0.140688,3.000437,-10.802182
0.011,-0.969274,0.245984,2.893058,-10.088743
0.011,-0.935715,0.352757,2.781077,-10.519303
0.010,-0.896633,0.442774,2.682903,-9.564493
0.011,-0.845657,0.533726,2.578592,-9.797866
0.010,-0.792088,0.610407,2.485019,-9.343616
0.011,-0.731589,0.681746,2.391446,-8.795688
0.011,-0.677200,0.735799,2.314747,-7.212991
0.011,-0.615208,0.788365,2.233446,-7.642010
0.011,-0.558094,0.829778,2.162883,-6.635703
0.011,-0.504837,0.863215,2.099990,-5.914917
0.011,-0.457786,0.889062,2.046300,-5.052127
0.010,-0.416402,0.909180,2.000281,-4.432298
0.011,-0.381238,0.924477,1.961932,-3.611201
0.010,-0.354136,0.935194,1.932786,-2.914160
0.011,-0.333971,0.942583,1.911310,-2.020525
0.011,-0.323831,0.946115,1.900572,-1.011082
0.010,-0.316565,0.948571,1.892902,-0.766447
0.011,-0.323831,0.946115,1.900572,0.722207
0.010,-0.338306,0.941036,1.915912,1.533005
0.011,-0.354136,0.935194,1.932786,1.589547
0.010,-0.386903,0.922120,1.968068,3.527434
0.010,-0.415007,0.909818,1.998747,2.991799
0.011,-0.456422,0.889763,2.044766,4.330076
0.010,-0.502186,0.864759,2.096922,5.212142
0.010,-0.551713,0.834034,2.155213,5.820022
0.011,-0.605487,0.795855,2.221174,6.210598
0.010,-0.660092,0.751185,2.291737,7.050477
0.011,-0.721045,0.692888,2.376106,7.936393
0.011,-0.777835,0.628469,2.462009,8.072781
0.010,-0.834846,0.550483,2.558650,9.647097
0.011,-0.884783,0.466003,2.656825,9.227775
0.010,-0.925619,0.378456,2.753465,9.411844
0.010,-0.961694,0.274126,2.863912,11.022202
0.011,-0.985273,0.170991,2.969757,9.946099
0.011,-0.998116,0.061351,3.080203,10.369934
0.010,-0.999012,-0.044441,-3.097137,10.560503
0.010,-0.988495,-0.151251,-2.989758,10.716177
0.011,-0.966984,-0.254837,-2.883914,9.950760
0.010,-0.936814,-0.349828,-2.784205,9.952353
0.011,-0.893926,-0.448214,-2.676826,10.094420
0.010,-0.848948,-0.528477,-2.584788,8.963230
0.011,-0.794925,-0.606707,-2.489681,8.941954
0.010,-0.743028,-0.669260,-2.408380,8.121142
0.010,-0.689562,-0.724226,-2.331681,7.662384
0.011,-0.632042,-0.774934,-2.254982,7.210974
0.010,-0.580838,-0.814019,-2.190555,6.438257
0.011,-0.528527,-0.848916,-2.127661,5.914919
0.010,-0.486236,-0.873827,-2.078574,4.906272
0.011,-0.449638,-0.893211,-2.037157,3.896255
0.010,-0.415062,-0.909793,-1.998807,3.834023
0.010,-0.385544,-0.922690,-1.966593,3.142560
0.011,-0.368495,-0.929630,-1.948186,1.733373
0.010,-0.355626,-0.934628,-1.934380,1.379577
0.011,-0.349884,-0.936793,-1.928244,0.577442
0.011,-0.354192,-0.935173,-1.932846,-0.433286
0.010,-0.359923,-0.932982,-1.938982,-0.613284
0.011,-0.381293,-0.924454,-1.961991,-2.166852
0.010,-0.402462,-0.915437,-1.985001,-2.299395
0.011,-0.435884,-0.900003,-2.021817,-3.467481
0.010,-0.467360,-0.884067,-2.057098,-3.526355
0.010,-0.510176,-0.860070,-2.106186,-4.788970
0.011,-0.561956,-0.827167,-2.167545,-5.770272
0.010,-0.609191,-0.793024,-2.225836,-5.825239
0.011,-0.669305,-0.742988,-2.304069,-7.356978
0.010,-0.721087,-0.692845,-2.376166,-7.202740
0.011,-0.778835,-0.627229,-2.463603,-8.222744
0.010,-0.831486,-0.555545,-2.552574,-8.877369
0.010,-0.876085,-0.482158,-2.638477,-8.579731
0.011,-0.920330,-0.391143,-2.739720,-9.518735
0.010,-0.955603,-0.294657,-2.842496,-10.034814
0.010,-0.981385,-0.192051,-2.948341,-10.535221
0.011,-0.996315,-0.085768,-3.055720,-10.091550
0.010,-0.999830,0.018437,3.123155,-10.404891
0.010,-0.992663,0.120918,3.020378,-10.253416
0.011,-0.972933,0.231087,2.908397,-10.525292
0.011,-0.943074,0.332582,2.802553,-9.947928
0.010,-0.905284,0.424807,2.702844,-9.952400
0.011,-0.856923,0.515444,2.600067,-9.656970
0.011,-0.804103,0.594491,2.504961,-8.939407
0.010,-0.749116,0.662438,2.417524,-8.415319
0.011,-0.688407,0.725325,2.330087,-8.222719
0.010,-0.633183,0.774002,2.256456,-7.356475
0.011,-0.580789,0.814054,2.190494,-6.200709
0.011,-0.525870,0.850565,2.124533,-6.207672
0.010,-0.479467,0.877560,2.070844,-5.364223
0.011,-0.439967,0.898014,2.026358,-4.184711
0.011,-0.403811,0.914842,1.986475,-3.755530
0.011,-0.375558,0.926799,1.955796,-2.886776
0.010,-0.354136,0.935194,1.932786,-2.300314
0.010,-0.348391,0.937349,1.926650,-0.598507
0.010,-0.341191,0.939994,1.918980,-0.766986
0.010,-0.342633,0.939470,1.920514,0.153398
0.010,-0.349828,0.936814,1.928184,0.766835
0.010,-0.367013,0.930216,1.946592,1.840309
0.011,-0.392554,0.919729,1.974203,2.600377
0.011,-0.424753,0.905309,2.009485,3.320243
0.010,-0.459150,0.888359,2.047834,3.833589
0.011,-0.503512,0.863988,2.098456,4.764139
0.010,-0.556820,0.830633,2.161349,6.030694
0.011,-0.610359,0.792125,2.227310,6.226437
0.011,-0.668120,0.744054,2.302475,7.070386
0.011,-0.723168,0.690673,2.379174,7.215022
0.011,-0.781676,0.623685,2.468145,8.365073
0.010,-0.832304,0.554319,2.554048,8.575419
0.011,-0.885497,0.464645,2.658359,9.803401
0.010,-0.923868,0.382711,2.748863,9.037210
0.011,-0.960848,0.277075,2.860844,10.507436
0.011,-0.985792,0.167968,2.972825,10.528266
